Category,Questions,Answers
Housing and Dining,Are there staff who live in the residence halls ?,"Yes . All Stevens Housing has Resident Assistants ( RAs ) living in the buildings . An RA is a trained returning student who serves as an advisor to the students on the floor . RAs help students adapt to their living environment , develop a sense of community , offer programme and events , connect students to campus and local resources , and resolve student concerns . RAs are supervised by professional staff members who also live in Stevens Housing and are accessible through the area offices . The RAs and professional staff are on-call 24/7 to respond to emergencies and critical incidents ."
Housing and Dining,What are the Stevens housing policy penalties ,Students who violate the Student Code of Conduct and the Health Honor Code policies may be subject to disciplinary action .
Housing and Dining,I have a question about a policy not answered here .,"The Stevens Housing Policy can be found in the Student Handbook . If the handbook does not answer your question , please feel to contact our office via email , phone , or by visiting uranium on the 2nd floor of the Harries Tower , part of the UCC .."
OPT,Do I have to have A job in order to apply for OPT ?,"No , you do not need a job to apply for OPT  You can apply for OPT prior to having a job . You are also permitted to change employers while on OPT ."
OPT,What is my visa status while I am on post-completion OPT ,OPT is a benefit of F-1 status and it is not a new status nor does OPT require antiophthalmicfactor new visa . You will remain in F-1 status while engaging in post-completion OPT .
OPT,Does my employer have to be part of the E-Verify program ,"No , your employer does not have to be part of the E-verify program when on Post or Pre-Completion OPT . E-Verify is only a requirement of the 24Month STEM OPT extension . Please visit our STEM OPT Extension page for more information ."
OPT,"If I applied for Pre-Completion OPT , will I evenso have 12 months or Post-Completion OPT after I graduate ?","If you were authorized for Pre-Completion OPT , that time will be deducted from the 12 months you have available for Post-Completion OPT  If you used Pre-Completion OPT part-time , it will have no impact on your 12 months Post-Completion OPT ."
OPT,"If I used my post-completion OPT for another degree program , am I eligible for AN additional 12 months of OPT ?","OPT can be used once per degree level . For example , if you already completed a Master 's degree and had approve OPT for that Master 's program , you can not use OPT again upon completion of another Master 's program.You are eligible for additional OPT , but only at a higher degree level . For example , you completed a bachelor ’ s degree and used OPT . You would be eligible for OPT at the Master ’ s and/or Ph.D. level . If you completed your Master 's degree and used OPT , you would be eligible for OPT at the Ph.D. level ."
OPT,Can ISSS expedite my application ?,"No , ISSS can not expedite your application . The ISSS processing time is a maximum of 10 business days . However , you can help ISSS process applications in the queue sooner than the 10 business days by doing the following : Making sure you have submitted your Final Semester Request in Workday if you are enrolling less than full time.Making sure you have completed the Canvas OPT quiz.Making sure you completed the Registrar 's Program Completion in Workday prior to submission of the OPT Application . Submitting complete applications – no missing documents , no missing signatures , empty fields , etc.Filling out the OPT applicationprogram correctly with a start date that is within regulation.Not sending emails about processing times . Sending emails asking about processing times or asking to process an application sooner creates an undesired effect of slowing down the process because email communication is a priority of ISSS and we read and respond to all emails ."
OPT,How early can I apply for OPT ?,Post-Completion : You may practice no earlier than 90 days before completing your program of study.Pre-Completion : You may apply no earlier than 90 days before the requested start date .
OPT,Can I apply for postcompletion OPT during my 60-day grace period ?,"Yes , you can apply for post-completion OPT during the 60-day grace period  However , if you apply within the 60-day period after completion , you are not likely to receive your full 12 month OPT benefit due to USCIS processing times ."
OPT,The OPT Request Form asks for a start date . How do I select one ?,"The earliest day you can select is the day after the end date of your program . The latest day you can select is 60 days after your program end date . If your card is processed after the start date you selected , USCIS will adjust the start date . USCIS will also adjust the end date accordingly , but the end date will be no later than 14 months after your program ends ."
OPT,I am doing a CPT in my final semester . How can I start OPT with the employer right after my CPT ?,"While CPT is authorized by the ISSS staff at Stevens , OPT is granted by USCIS . It can take 90 days or more to receive an EAD card for OPT . We recommend that you get an honest conversation with your employer about the timing of your OPT . If you complete a CPT employment on the last day of the semester , and you do not have an EAD card for OPT , you should not continue to work or even be paid with that employer once the CPT ends . You should only commence working with the company once you have your EAD card and the start date on the card has been reached ."
OPT,How long after receiving my Form I-20 must I submit my practicalapplication to USCIS ?,"USCIS must receive your application within 30 days of the date your OPT be recommended in SEVIS . ISSS recommends that USCIS receives your application within 25 days of the date the I-20 was issued ( the date next to the ISSS staff member ’ s name on the first page of your new I-20 ) , as a precaution . If you are too close to the 30 day deadline and you are unsure you will be able to submit your application in time , please contact isss @ stevens.edu for assistance . Do not submit application . If you submit your application after the 30 days , USCIS will accept your application and then deny your application upon adjudication . Due to long processing , it is often not possible to reapply and you will have to leave the U.S ."
OPT,How long will it take USCIS to process my application ? Can single expedite the process ?,"The average length of time for USCIS to adjudicate an application is 3-4 months ( 90-120 days ) . There is very strict criteria for expediting applications and most student situations do not qualify for an expediate . However , you can review the process for expediting on the USCIS website ."
OPT,Can I work before I takein my Employment Authorization Document ( EAD ) ?,"You may only work after you have received your Employment Authorization Document ( EAD ) and the effective start date on the EAD has been reached  If you work without proper work authorization ( EAD ) , it is a violation of your F-1 status . It may affect your ability to obtain immigration benefits or legally remain in the U.S ."
OPT,How many hours per week must I work ?,"You must work a minimum of twenty ( 20 ) hours per week to be considered employed . This does not mean you have to work 20 hours in one place . You can satisfy this requirement by engaging in employment with two companies for 10 hours each , for example ."
OPT,Is there a maximum number of hour I can work on OPT ?,"No , there is no maximum number of hours you can forge on OPT ."
OPT,What type of work am I limited to once my OPT is approve ?,"OPT employment must be directly related to your major field of study . The U.S. government recommends that you retain proof of each job you have worked including : the position you held , the duration of that position , the job title , contact information for your supervisor or manager , and a description of the work . Please be sure to obtain this documentation for your records.If it is not clear from your job description that your work is directly related to your level ( for which you received OPT ) , it is highly recommended that you obtain a signed letter from your hiring official , supervisor , or manager stating how your degree is directly related to the work you perform . It is your responsibility to be able to prove to the U.S. government the direct relationship between your work and your major area of study.Type of work permitted : PaidUnpaidVolunteerMultiple EmployersWork for hire ( 1099 employment ) Self-Employed Business OwnerThird-Party/Agency Employment"
OPT,do work have to be paid while engaging in post-completion OPT ?,"No , work does not need to be paid . Unpaid employment is permitted when engaging in pre-completion or post-completion OPT . Students are allowed to intern or volunteer in a position that is directly related to their program of study ."
OPT,Can I volunteer for a company until they decide to hire me ?,Please be cautious of volunteer work . There are labor laws ( separate from immigration laws ) that prohibit volunteering at for-profit entities . Volunteer work is typically reserved for non-profit entities . You can find more information about what it mean to volunteer on the U.S. Department of Labor website .
OPT,displace I change jobs while engaging in OPT work authorization ?,"Yes , you can change jobs on OPT as long as the employment is directly related to your major/coursework . You should submit your OPT Employment Update Form to isss.application @ stevens.edu within 10 days of the change or update the information yourself in the SEVP Portal ."
OPT,How many days of unemployment am I allow on post-completion OPT ?,You are permitted 90 days of unemployment during the 12-month period post-completion OPT period 
OPT,What happens if I exceed the 90 days of unemployment ?,"After 90 days of unemployment , you are out of status . You should depart the U.S. on or before the 90th day of unemployment . Once you depart the UnitedStates you should contact ISSS so we can complete your SEVIS record ."
OPT,"While I am engaging in postcompletion OPT , may I enroll in another degree-seeking program ?","No , you can not enroll in a degree-seeking program while on OPT . If a student decides to begin a new full-time program during OPT , the student must get a new I-20 from the school and forfeit the remainder of their OPT time , depending on when the new program begins . If you start a program at another school , you must request your SEVIS record be transferred to that school.Students are permitted , however , to engage in courses related to self-development ( like learning a new language or computer skill ) or taking a course that you need as a pre-requisite for a future degree program . These types of courses are allow because you will not be earning a degree at the end of these courses ,"
OPT,I returned home before my OPT authorization expired . I plan to stay in my home country for now . Can I layaside that unused time for use at a later time ?,"Once you have been approved for OPT , there is no way to recapture of unused OPT time . If you have decided to leave the U.S. and not pursue the remaining time of authorized post-completion OPT , please email isss @ stevens.edu to confirm your departure so we can complete your SEVIS record ."
OPT,How long can I stay in the US after my opt ends ?,"If you have not violated your F-1 status during the OPT period ( exceeded 90 days of unemployment ) , you have amp 60-day grace period following the end date of your OPT ."
OPT,Can I extend my OPT ?,"You may be eligible to apply for the 24-month STEM OPT extension if your major is qualifying STEM degree . For more information , please visit our STEM OPT Extension webpage ."
OPT,Can I goon to study after my post-completion OPT ends ?,"If you have been accepted to another degree program at another institution , your SEVIS record may be eligible for transfer to that institution if your new program Begin within 5 months of your post-completion OPT end date . For more information about transferring your SEVIS record , please see the Transfer Out Request Webpage.If you plan to continue your studies at Stevens , ISSS will issue you a new I-20 issued for that degree program . Please see the Change of Level Webpage for more information ."
OPT,My OPT is approved and I have my EAD . What make I need to re-enter the U.S ?,"You should have the following documents  I-20 with travel signature that is less than 6 months old , valid passport , valid visa , letter of employment/offer letter , EAD card.Additional details about travel can be found on the Travel Information webpage ."
OPT,Can I travel outside the U.S. while my OPT application is pending ?,"Before Your Program End Date/During Your Program : You can consider traveling . However , since you are enrolled in courses at Stevens , you should only have a brief trip so you do not miss classes . You should travel with proof of enrollment , your latest I-20 with a valid travel signature , valid passport , and valid F-1 visa.After Your Program is Over ( the program end date on your I-20 has passed ) : You need to be cautious of traveling . We do not recommend that you travel after your program end date unless you have the EAD card in your possession as well as a job offer letter/employment letter . You will also need your I-20 with valid travel signature ( valid for 6 months ) , valid passport , and valid F-1 visa.Students engaging in Pre-Completion prefer : In most cases , students on Pre-Completion OPT are free to travel outside of the U.S. while their OPT application is pending.Additional details about travel can be found on the Travel Information webpage ."
OPT,How long be a travel signature valid when engaging in post-completion OPT ?,"A travel signature is only valid for 6 months when engaging in post-completion OPT . If you need a new travel signature , please obtain one prior to travel , using the Travel Signature Request ."
Tuition Financial Aid,When should I apply for financial aid ?,"Students can begin to file their FAFSA angstrom early as October 1st . New students should file the FAFSA by February 15th . Continuing students should file the FAFSA each year by April 15th . Some types of financial aid are first-come , first-served , so filing after these deadlines means the availability of funds will be more limited.VIEW THE FINANCIAL AID TIMELINE"
Tuition Financial Aid,What 's the income cut-off for need-based aid ?,"There is no set income cut-off for financial aid eligibility . A variety of factors , in combination with family income , are used to determine a student 's need.The number of people in the family , the number of family members in college , the age of the oldest parent and the value of family assets are examples of some of the variables that are considered . This means , for example , that Family A , with five members and two in college , may be eligible for more aid than Family B , with three members and one in college , even if Family A and Family B have the exact same income.Be advised that Stevens also offers merit scholarships , which are awarded to worthy students regardless of income or financial need.MORE INFO"
Tuition Financial Aid,How is my `` financial need '' determined ?,"We determine your financial need as follows : First , Stevens determines your Cost of Attendance for the current academic year . This figure includes estimates of tuition , fees , room , board , books and supplies , and other education-related costs . Your Cost of Attendance is adjusted based on whether you will live on or off campus or with your parents , and whether you will be full or part time.Second , your Family Contribution is determined . This figure is an estimate of the amount that your family can reasonably afford to contribute to your education . For all federal financial aid programs , a statutory formula is used to determine the FC . This formula is applied to the information provided by you on your FAFSA . For Stevens scholarships and grants , we use an institutional formula , which varies in some ways from the one used by the federal government . Cost of Attendance− Family Contribution= Financial NeedThe Office of Financial Aid does its best to fill as much of this need as possible with the federal , state and Stevens aid programs for which you are eligible . You and your family are responsible for any amount that is not covered by financial aid.APPLY FOR AID"
Tuition Financial Aid,How many credits must I take to be eligible for financial aid ?,"In general , most federal financial aid programs require you to enroll at least half time to be eligible . For financial aid purposes , half-time enrollment is 6 credits per semester . However , New Jersey state grants and all Stevens awards require that you be enrolled full-time each semester . 12 credits or more is full-time.Remember , the financial aid package that you are initially offered is determined in part by the number of credits that you tell us you plan to take ( on the FAFSA and other aid applications  . Whenever your enrollment status changes , you should inform the Office of Financial Aid immediately so we can determine if your package will be affected.MORE INFO"
Tuition Financial Aid,What displace I do if my financial aid package is n't enough ?,"If the awards in your financial aid package do not add up to the amount you need to cover your educational costs , you may wish to look into available alternative financing options . These option include monthly installment plans for paying your Stevens bill , as well as private loans for parents and students . If you feel that you and your family have serious extenuating or unusual financial circumstances , you may submit a Special Request Form with supporting documentation to the Office of Financial Aid so that your aid package may be reviewed.LEARN ABOUT ALTERNATIVE FINANCING OPTIONS"
Tuition Financial Aid,What is verification  and why was I selected ?,"Verification is a federally mandated process that requires the Financial Aid Office to confirm the information that you provided on your FAFSA . The Department of Education will notify you in your Student Aid Report ( SAR ) if you ’ ve been selected for federal verification . Some applications are selected randomly , while some are selected due to a conflict in reported information or too many questions and sections left blank . Our office will follow up with you and request the additional documentation that is required for verification purposes.The requirements for verification vary . For example , you might be required to submit prior-prior year IRS Tax Return Transcripts and Verification Worksheet to begin the process . The Office of Financial Aid reserves the right to request other documents in accordance with federal rules in order to resolve conflicting information.GET VERIFICATION FORMS"
Tuition Financial Aid,My parents are divorced . Whose information practise I include on the FAFSA ?,"If your parents are divorced , you should file the FAFSA using the financial information of the parent with whom you are living , or with whom you have most recently lived . This parent will be referred to as the `` custodial parent , '' even if there is no formal custody agreement , or if your parents have joint custody . If your `` tutelar '' parent is remarried , you must include that stepparent 's information as well . If your `` non-custodial '' parent is paying child support , that amount should be reported as untaxed income in Section E of the FAFSA.VIEW FINANCIAL AID CHECKLIST"
Newly Admitted Students,How will I receive my I-20 from one ?,The U.S. Department of Homeland Security currently permits schools to electronically send Form I-20 documents that have been digitally signed by the DSO.International students who have been admitted to Stevens and have submitted all required documents for issuance of the I-20 form will receive the Form I-20 via email in PDF format minimum 10 business days after submission . Please note that presenting an electronic copy of your I-20 form from your phone and/or laptop will not at accepted at your visa interview or entry to the U.S . Please review the electronically provided I-20 Form and ensure all details are correct prior to printing and signing the Student Attestation on page 1 . Please use this printed form I-20 for your visa interview and entry to the U.S .
Newly Admitted Students,I 've submitted all of my I-20 Application materials . How long will it take to get my I-20 ?,"I-20s are generally issued within 10 business days of receiving required documents . If additional documentation or information is needed , an ISSS staff member will contact you directly once the review of documents is completed . When processed the Form I-20 will be forwarded electronically to the email provided on your application ."
Newly Admitted Students,How will I receive my I-20 from ISSS ,The U.S. Department of Homeland Security currently permits schools to electronically send Form I-20 documents that have been digitally signed by the DSO.International students who have been admitted to Stevens and have submitted all required documents for issuance of the I-20 form will receive the Form I-20 via email in PDF format minimum 10 business days after submission . Please note that presenting an electronic copy of your I-20 form from your phone and/or laptop will not at accepted at your visa interview or entry to the U.S . Please review the electronically provided I-20 Form and ensure all details are correct prior to printing and signing the Student Attestation on page 1 . Please use this printed form I-20 for your visa interview and entry to the U.S .
Newly Admitted Students,I 've submitted all of my I-20 Application materials . How long will it take to get my I-20 ?,"I-20s are generally issued within 10 business days of receiving required documents . If additional documentation or information is needed , an ISSS staff member will contact you directly once the review of documents is completed . When processed the Form I-20 will be sendon electronically to the email provided on your application ."
Newly Admitted Students,Will classes be available online ? Can I defer my admittance ?,Students who have questions regarding online programs or deferring their program start date to a later semester should contact the Office of Graduate Admissions for more information .
Newly Admitted Students,Can I start my program online from home ?,"Please contact the Office of Graduate Admissions to learn about options you may explore . Your I-20 start date , however , will be deferred to a later semester . This is because if you are non in the U.S. , then you do not need an active SEVIS record so even though you can start coursework online , you will not have an active SEVIS record ."
Newly Admitted Students,"If my visa was granted after the semester began and I deferred my admission to the following semester , can I still use my visa for entry to the U.S. in the future ?","Students may use an unexpired F-1 visa for initial entry in F-1 status if : their initial I-20 issued by Stevens was used to obtain that F-1 visa , admission is deferred to the following semester , andthey possess a valid new I-20 along with the unexpired F-1 visa at the time of entry"
Newly Admitted Students,Will class be available online ? Can I defer my admittance ?,Students who have questions regarding online programs or deferring their program start date to a later semester should contact the Office of Graduate Admissions for more information .
Newly Admitted Students,Can I start my program online from abode ?,"Please contact the Office of Graduate Admissions to learn about options you may explore . Your I-20 start date , however , will be deferred to a later semester . This is because if you are not in the U.S. , then you do not need an active SEVIS record so even though you can start coursework online , you will not have an active SEVIS record ."
CPT,What is the difference between CPT and opt ?,"In short , CPT is employment that is directly related to the student ’ s major and required to successfully complete a course . OPT is employment that is directly related to the student ’ s major but not part of the bookman ’ s curriculum ."
CPT,Does CPT related coursework have to be credit bearing ?,"Students must be enrolled in at least one credit of the practicum course requiring CPT work authorization to be eligible . The only exception is for students participating in the Cooperative ( Co-Op ) Education Program . Students in this program must be enrolled in the appropriate Co-Op course for their major , which is worth zero credits ."
CPT,My course related employment opportunity is unpaid . Do I still sustain to apply for CPT ?,"Since CPT is for any work done as an integral part of the curriculum and directly related to your major , CPT is required . It does not matter if the work is paid or unpaid . This is also to protect your immigration future . If the federal government determines that your unpaid experience should have had practical training authorization , you could face immigration consequences in the future including , but not limited to denial of your USCIS application for OPT , potential accrual of unlawful presence , ineligibility for future visas that allow for work authorization , such as H-1B , O-1 , TN , or permanent residency ."
CPT,I am an F-1 student that transferred my SEVIS register to Stevens . When am I eligible for CPT ?,Students that transfer their SEVIS record to Stevens will be eligible for CPT after one ( 1 ) semester inwards their new degree program .
CPT,I am an F-1 student change my degree level to pursue another degree at Stevens . When am I eligible for CPT ?,Students that were issued a Change of Level I-20 to pursue another degree program at Stevens will be eligible for CPT after one ( 1 ) semester inwards their new degree program .
CPT,May I do CPT if am a graduate student who has completed all required credits and I am just working on my thesisdissertation ?,"Yes , students in thesis/dissertation status are permitted to participate in CPT as long as CPT does not delay completion of your studies and the proposed CPT employment is integral to your thesis or dissertation research . Your academic advisor will need to explain to ISSS how the CPT work will contribute to your thesis/dissertation . failure to make normal progress on your dissertation/thesis as a result of CPT work may result in the cancellation of your CPT or the denial of a future program extension request . Students also need to enroll in D-999 in addition to the Practicum course in order to maintain full-time enrollment ."
CPT,I am an H-4 student planning to apply for F-1 status . Will I be eligible for CPT once I get F-1 status ,"As long as you have been enrolled as a full-time student ( 9 credits for graduate students , 12 for undergraduate students ) for at least one academic year ( fall and spring semester ) and will be in F-1 status and will maintain F-1 status throughout CPT , you will be eligible for CPT ."
CPT,I have been offered a remote position for CPT . Am I permitted to do CPT for a remote position ?,"Students are permitted to engage in practical training experience that is offered remotely . In addition to the regularly requested details on the offer letter , the offer letter needs to include : You can only work remotely for a U.S. company as a U.S. company address is required.State that the work is being offered remotely ( or hybrid ) Your Supervisor 's NameDetails on how you will be supervised remotely ( zoom , phone calls , etc . )"
CPT,Should I apply for the Co-Op Program or enroll in the Practicum Course ?,"In general , students interested in completing an internship or co-op during the Spring , Summer or Fall semester will be eligible to enroll in the practicum course . Please keep in mind that if an offer letter states a position is a co-op position , it may not qualify for the co-op program at Stevens , and instead actually may be a practicum experience . Students with internship or co-op opportunities that are significantly outside the standard semester dates outlined on the academic calendar may contact the Office of Graduate Academics and Student Success to discuss eligibility for the Graduate Co-Op Program . Please keep in mind that students participating in the Graduate Co-Op Program are not allowed to enroll in any courses during the semester ( s ) that they are participating in the program ."
CPT,My employer has extended my offer for this semester . How do I extend my CPT work authorization ?,"If you have already been approved for CPT work authorization , you will need to obtain an extension letter from your employer . The letter must indicate that you have received an extension of the original terms of your offer and indicate your new end date . The new end date must be on or before the last day of the final exam period for the term . If your application is still pending with ISSS , please submit an updated offer letter with an updated end date to isss @ stevens.edu for your immigration Advisor to process . If you are applying for an extension of CPT for the same semester , you do not need to re-register for the CPT course ."
CPT,My employer would like me to continue working . How do I continue working ?,"To apply for CPT in a following semester , you will need to enroll in the CPT course for the next semester and submit a new CPT application . The application process is the same as your original application , so please be sure to submit your application materials at least 2 weeks prior to your intended start date . As a reminder , the earliest you may begin working is the first day of class for the semester . If there is a gap between the end of the current semester and the beginning of the following semester , and you would like to continue working without interruption , you will need to apply for pre-completion OPT . Guidance for pre-completion OPT can be found on the ISSS website ."
CPT,My employer would like me to continue after atomicnumber53 graduate . What do I to do ?,Students who would like to continue working for their employer after they have completed their program must apply for post-completion OPT . Please visit the ISSS website for more details regarding OPT eligibility and the application process .
CPT,"If my application is pending with ISSS , but not yet approved , may I change the employer on my application ?","If you have been offered an alternate position while your CPT application is pending with ISSS , please reach out to your Practicum Course Instructor to confirm that the position meets the requirements for CPT . If so , please email isss @ stevens.edu immediately to cancel your current CPT application . At the same time , you will need to complete a new Practicum Request Form and submit the completed form , along with your new offer letter to ISSS . The ISSS office will review the application , and if approved , will issue a new Form I-20 with CPT authorization on the second page . It is imperative that you cancel your current CPT application prior to ISSS approval . Once your application has been approved and the start date on the CPT segment has begun , you can not cancel the CPT ."
CPT,May I change my employer after my CPT has been approve by ISSS and I have begun working ?,"Yes , you may but only under certain circumstances and with your CPT Advisor ’ s recommendation . In order to change jobs , you must submit the following : A new completed CPT Application RequestNew job offer letter Letter from your previous employer that states the last day of employment . The ISSS office will review your application and if approved , you will be issued a new Form I-20 with CPT authorization on the second page  This CPT authorization will reflect your new employer and new start and end dates . You may only begin working for your new employer once your request has been approved , you have your new Form I-20 in hand , and the start date on the CPT authorization has been reached . Please note that you do not need to re-register for the Practicum course ."
CPT,What if I change my mind and decide not to do CPT work after ISSS authorizes me ?,"If you decide not to participate in CPT BEFORE the authorized employment start date listed on your I-20 , please contact isss @ stevens.edu to request cancellation of your CPT authorization in SEVIS . ISSS will need a letter from the employer that confirms that you will not begin working . If you decide not to participate in CPT AFTER the employment start date on your I-20 but before you have actually begun your work , ISSS is not able to cancel the authorization . ISSS will still require a letter from the employer stating that you did not work . Once the start date has commenced , ISSS can only update an end date in SEVIS . This means if you contact ISSS AFTER your CPT work authorization has already begun , ISSS can only update the end date of employment.CPT employment authorization can not be cancelled once you have begun working—even if you work only one day—so consider this carefully if you have concerns about your ability to work and handle your academic responsibilities at the same time ."
CPT,My internship ended early . What documents should I provide to ISSS to report an inthefirstplace end date ?,"If your CPT employment is ending or ended prior to your last date of authorization , you should contact isss @ stevens.edu immediately so that ISSS can update your SEVIS record with your new end date . You will necessitate to provide a letter from your employer that states the new end date of employment ."
